musical_work_id,sacred_or_secular,source_id,contribution_id,VIAF ID,genre_style_@id,genre_style,genre_type,genre_type_@id,url_to_file,contributor_role,contributor_role_@id,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_format_@id,musical_work_variant_titles,file_version,contributor_name,contributor_name_@id
6.0,False,8.0,11.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/23,COMPOSER,https://www.wikidata.org/wiki/Q36834,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Nella stagion che’l ciel rapido inchina'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
6.0,False,8.0,11.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/24,COMPOSER,https://www.wikidata.org/wiki/Q36834,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Nella stagion che’l ciel rapido inchina'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
6.0,False,8.0,11.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/21,COMPOSER,https://www.wikidata.org/wiki/Q36834,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Nella stagion che’l ciel rapido inchina'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
6.0,False,8.0,12.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/22,AUTHOR,https://www.wikidata.org/wiki/Q482980,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Nella stagion che’l ciel rapido inchina'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
6.0,False,8.0,12.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/23,AUTHOR,https://www.wikidata.org/wiki/Q482980,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Nella stagion che’l ciel rapido inchina'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
6.0,False,8.0,12.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/24,AUTHOR,https://www.wikidata.org/wiki/Q482980,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Nella stagion che’l ciel rapido inchina'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
6.0,False,8.0,12.0,39382430.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/21,AUTHOR,https://www.wikidata.org/wiki/Q482980,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Nella stagion che’l ciel rapido inchina'],,Francesco Petrarca,https://www.wikidata.org/wiki/Q1401
7.0,False,9.0,13.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/26,COMPOSER,https://www.wikidata.org/wiki/Q36834,7.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Donna benché di rado et con riguardo'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
7.0,False,9.0,13.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/27,COMPOSER,https://www.wikidata.org/wiki/Q36834,7.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Donna benché di rado et con riguardo'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
7.0,False,9.0,13.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/28,COMPOSER,https://www.wikidata.org/wiki/Q36834,7.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Donna benché di rado et con riguardo'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
